time,vdd,vres
-4.56480e-02,0.110625,0.0102094
-4.56440e-02,0.114688,0.00990312
-4.56400e-02,0.109375,0.0103063
-4.56360e-02,0.108125,0.0105875
-4.56320e-02,0.11375,0.0105312
-4.56280e-02,0.112812,0.0105031
-4.56240e-02,0.119063,0.0100375
-4.56200e-02,0.110937,0.0101969
-4.56160e-02,0.111875,0.0106406
-4.56120e-02,0.115938,0.0105625
-4.56080e-02,0.112812,0.0108687
-4.56040e-02,0.1125,0.0103344
-4.56000e-02,0.114063,0.0103781
-4.55960e-02,0.111563,0.0105188
-4.55920e-02,0.115,0.0108344
